Year;average_satisfaction_of_red_individuals;average_satisfaction_of_blue_individuals
87170;37.538;35.846
87175;37.538;35.846
87180;37.538;36.0
87185;37.846;36.0
87190;37.538;36.0
87195;37.538;36.0
87200;37.385;36.154
87205;37.385;36.154
87210;37.385;36.0
87215;37.385;36.154
87220;37.385;36.308
87225;37.385;36.154
87230;37.385;36.308
87235;37.231;36.462
87240;37.538;36.154
87245;37.231;36.154
87250;37.385;36.154
87255;37.385;36.154
87260;37.538;36.308
87265;37.538;36.308
87270;37.692;36.462
87275;37.385;36.615
87280;37.385;36.615
87285;37.231;36.615
87290;37.077;36.615
87295;37.231;36.462
87300;37.077;36.615
87305;37.077;36.615
87310;37.077;36.462
87315;37.077;36.308
87320;36.923;36.154
87325;37.077;36.154
87330;36.923;36.154
87335;36.923;36.154
87340;36.923;36.308
87345;37.077;36.308
87350;37.077;36.0
87355;37.077;36.0
87360;36.769;36.0
87365;36.769;36.0
87370;36.769;36.0
87375;37.077;35.846
87380;37.077;36.0
87385;37.077;35.692
87390;36.923;35.538
87395;36.923;35.231
87400;36.923;34.923
87405;37.077;34.923
87410;37.231;34.769
87415;37.385;35.077
87420;37.385;34.923
87425;37.231;35.077
87430;37.231;34.923
87435;37.077;35.077
87440;37.077;35.077
87445;37.077;35.077
87450;37.077;35.385
87455;36.923;35.538
87460;37.077;35.538
87465;37.231;35.385
87470;36.923;35.385
87475;36.923;35.385
87480;36.923;35.385
87485;36.769;35.385
87490;36.769;35.385
87495;36.769;35.385
87500;36.462;35.385
87505;36.462;35.538
87510;36.308;35.538
87515;36.154;35.538
87520;36.154;35.538
87525;36.0;35.538
87530;36.154;35.538
87535;35.846;35.692
87540;36.0;35.846
87545;36.0;35.846
87550;36.0;35.846
87555;36.0;35.846
87560;36.0;35.692
87565;36.0;35.692
87570;36.0;35.538
87575;35.846;35.385
87580;35.538;35.538
87585;35.385;35.538
87590;35.385;35.538
87595;35.385;35.538
87600;35.538;35.538
87605;35.538;35.538
87610;35.385;35.692
87615;35.385;35.385
87620;35.538;35.538
87625;35.385;35.385
87630;35.231;35.538
87635;35.077;35.538
87640;35.385;35.692
87645;35.385;35.692
87650;35.231;35.538
87655;35.231;35.538
87660;35.385;35.692
87665;35.231;35.846
87670;35.385;36.0
87675;35.385;36.154
87680;35.385;36.308
87685;35.385;36.308
87690;35.385;36.462
87695;35.385;36.308
87700;35.231;36.154
87705;35.385;36.154
87710;35.231;35.846
87715;35.538;36.0
87720;35.385;36.154
87725;35.538;36.0
87730;35.385;36.0
87735;35.231;36.0
87740;35.077;36.0
87745;35.077;35.846
87750;35.231;35.846
87755;35.231;35.846
87760;35.385;35.692
87765;35.385;35.846
87770;35.385;35.846
87775;35.385;35.692
87780;35.385;35.538
87785;35.385;35.692
87790;35.231;35.846
87795;35.077;35.846
87800;35.077;35.846
87805;35.385;36.0
87810;35.231;36.0
87815;35.231;36.0
87820;35.385;36.0
87825;35.231;36.308
87830;35.077;36.615
87835;34.923;36.615
87840;35.077;36.769
87845;35.077;36.769
87850;35.077;36.615
87855;35.231;36.615
87860;35.231;36.462
87865;35.385;36.462
87870;35.231;36.462
87875;34.923;36.462
87880;35.077;36.308
87885;35.077;36.615
87890;34.923;36.615
87895;34.769;36.615
87900;34.923;36.615
87905;34.923;36.462
87910;34.923;36.615
87915;34.769;36.462
87920;34.615;36.462
87925;34.923;36.462
87930;35.077;36.462
87935;34.769;36.462
87940;34.615;36.462
87945;34.615;36.462
87950;34.615;36.615
87955;35.077;36.769
87960;35.077;36.769
87965;35.231;36.615
87970;35.231;36.769
87975;35.231;37.077
87980;35.231;37.077
87985;35.231;36.923
87990;35.385;36.769
87995;35.385;36.769
88000;35.077;36.769
88005;35.231;36.923
88010;35.231;36.923
88015;35.231;37.231
88020;35.231;37.231
88025;35.385;37.385
88030;35.385;37.077
88035;35.385;37.077
88040;35.538;37.385
88045;35.385;37.385
88050;35.231;37.385
88055;35.231;37.385
88060;35.231;37.385
88065;35.231;37.385
88070;35.231;37.385
88075;35.077;37.385
88080;35.231;37.385
88085;35.077;37.538
88090;35.077;37.692
88095;35.231;37.846
88100;35.077;37.846
88105;34.923;37.692
88110;34.923;37.692
88115;35.077;37.692
88120;35.231;37.692
88125;35.077;37.538
88130;35.538;37.538
88135;35.385;37.231
88140;35.385;37.231
88145;35.692;37.077
88150;35.692;36.769
88155;35.538;36.769
88160;35.692;36.615
88165;35.538;36.462
88170;35.538;36.462
88175;35.538;36.462
88180;35.538;36.462
88185;35.538;36.462
88190;35.538;36.308
88195;35.385;36.154
88200;35.385;36.0
88205;35.385;36.0
88210;35.538;36.0
88215;35.538;35.846
88220;35.538;36.0
88225;35.692;36.0
88230;35.538;35.846
88235;35.692;35.846
88240;35.692;35.846
88245;35.692;35.846
88250;35.538;35.846
88255;35.385;35.846
88260;35.538;35.846
88265;35.692;35.692
88270;35.692;35.692
88275;35.692;35.692
88280;35.538;35.846
88285;35.538;35.692
88290;35.385;35.846
88295;35.385;35.692
88300;35.385;35.692
88305;35.692;35.846
88310;35.538;35.846
88315;35.692;35.538
88320;35.692;35.538
88325;35.846;35.385
88330;35.692;35.692
88335;35.846;35.692
88340;35.846;35.692
88345;35.692;35.692
88350;35.538;35.538
88355;35.385;35.385
88360;35.231;35.231
88365;35.231;35.077
88370;35.231;35.231
88375;35.385;35.385
88380;35.692;35.231
88385;35.692;35.077
88390;35.692;35.077
88395;35.692;35.385
88400;35.538;35.385
88405;35.538;35.385
88410;35.538;35.538
88415;35.538;35.538
88420;35.385;35.538
88425;35.231;35.538
88430;35.385;35.538
88435;35.231;35.538
88440;35.231;35.538
88445;35.385;35.538
88450;35.385;35.538
88455;35.385;35.538
88460;35.538;35.692
88465;35.538;36.0
88470;35.538;36.0
88475;35.538;36.154
88480;35.692;36.0
88485;35.538;36.308
88490;35.538;36.308
88495;35.846;36.308
88500;35.846;36.308
88505;35.846;36.154
88510;35.692;36.0
88515;36.0;36.154
88520;35.846;36.0
88525;35.846;36.0
88530;35.846;36.0
88535;35.846;35.692
88540;35.846;35.692
88545;35.692;35.846
88550;35.692;36.0
88555;35.846;36.0
88560;36.0;35.846
88565;35.846;35.846
88570;35.692;36.0
88575;35.846;35.846
88580;35.692;36.0
88585;35.846;36.0
88590;35.846;35.846
88595;35.846;35.846
88600;36.0;35.846
88605;35.846;35.846
88610;36.0;35.846
88615;36.154;36.154
88620;36.154;36.308
88625;36.154;36.0
88630;36.154;36.154
88635;36.0;36.308
88640;35.846;36.308
88645;36.154;36.308
88650;36.308;36.615
88655;36.308;36.462
88660;36.462;36.462
88665;36.462;36.462
88670;36.462;36.308
88675;36.615;36.308
88680;36.462;36.308
88685;36.462;36.308
88690;36.308;36.462
88695;36.308;36.308
88700;36.462;36.154
88705;36.462;36.308
88710;36.308;36.154
88715;36.308;36.154
88720;36.308;36.154
88725;36.462;36.308
88730;36.462;36.308
88735;36.462;36.308
88740;36.308;36.462
88745;36.308;36.308
88750;36.308;36.308
88755;36.308;36.462
88760;36.462;36.462
88765;36.462;36.308
88770;36.462;36.308
88775;36.308;36.308
88780;36.462;36.308
88785;36.615;36.462
88790;36.462;36.462
88795;36.615;36.308
88800;36.308;36.308
88805;36.462;36.308
88810;36.462;36.308
88815;36.462;36.308
88820;36.308;36.462
88825;36.462;36.462
88830;36.308;36.308
88835;36.462;36.308
88840;36.308;36.308
88845;36.308;36.615
88850;36.154;36.769
88855;36.154;36.769
88860;36.308;36.769
88865;36.154;36.615
88870;36.154;36.769
88875;36.154;36.769
88880;36.154;36.769
88885;36.0;36.615
88890;35.846;36.615
88895;35.846;36.615
88900;36.0;36.615
88905;36.308;36.615
88910;36.308;37.077
88915;36.462;37.385
88920;36.308;37.231
88925;36.308;37.231
88930;36.462;37.231
88935;36.462;37.231
88940;36.615;37.231
88945;36.615;37.231
88950;36.769;37.231
88955;36.923;37.231
88960;36.615;37.385
88965;36.615;37.385
88970;36.462;37.385
88975;36.308;37.538
88980;36.462;37.692
88985;36.308;37.846
88990;36.615;38.0
88995;36.769;38.0
89000;36.769;38.0
89005;36.615;38.0
89010;36.769;38.0
89015;36.615;38.0
89020;36.615;38.308
89025;36.462;38.154
89030;36.615;38.462
89035;36.615;38.462
89040;36.462;38.308
89045;36.462;38.308
89050;36.615;38.308
89055;36.923;38.462
89060;37.077;38.462
89065;37.077;38.462
89070;36.923;38.615
89075;36.769;38.462
89080;37.077;38.308
89085;37.077;38.308
89090;37.077;38.462
89095;37.077;38.308
89100;37.077;38.462
89105;37.077;38.154
89110;37.077;38.0
89115;37.077;37.846
89120;37.385;37.846
89125;37.385;37.692
89130;37.231;37.692
89135;37.231;37.385
89140;37.077;37.385
89145;37.231;37.385
89150;37.385;37.231
89155;37.385;37.231
89160;37.231;37.077
89165;37.231;37.077
89170;37.385;36.923
89175;37.385;36.923
89180;37.538;36.923
89185;37.538;37.077
89190;37.385;37.231
89195;37.538;37.385
89200;37.538;37.538
89205;37.538;37.692
89210;37.538;37.692
89215;37.538;37.692
89220;37.538;37.692
89225;37.692;37.846
89230;37.538;37.846
89235;37.231;37.846
89240;36.923;38.0
89245;36.923;38.0
89250;37.077;38.154
89255;36.615;38.154
89260;36.308;38.308
89265;36.615;38.308
89270;36.462;38.615
89275;36.462;38.462
89280;36.462;38.462
89285;36.769;38.308
89290;36.769;37.846
89295;36.769;38.0
89300;36.923;38.154
89305;37.077;38.154
89310;37.231;38.154
89315;37.231;38.0
89320;37.077;38.154
89325;37.077;38.308
89330;36.923;38.154
89335;36.923;38.154
89340;37.077;38.0
89345;37.077;38.154
89350;37.231;38.154
89355;37.077;38.154
89360;37.077;38.308
89365;37.231;38.308
89370;37.538;38.154
89375;37.385;38.154
89380;37.538;38.154
89385;37.538;38.615
89390;37.538;38.615
89395;37.538;38.615
89400;37.846;38.462
89405;37.846;38.462
89410;37.692;38.462
89415;37.692;38.462
89420;37.846;38.615
89425;37.846;38.615
89430;37.692;38.615
89435;38.0;38.615
89440;37.846;38.615
89445;37.846;38.462
89450;38.0;38.462
89455;37.692;38.462
89460;37.538;38.769
89465;37.538;38.923
89470;37.692;38.769
89475;37.692;38.923
89480;37.846;38.769
89485;37.538;38.615
89490;37.692;38.615
89495;37.692;38.923
89500;37.538;38.923
89505;37.846;39.077
89510;37.846;39.231
89515;38.0;39.231
89520;37.846;39.077
89525;37.846;39.077
89530;37.692;39.077
89535;37.846;39.077
89540;37.846;38.923
89545;37.846;38.769
89550;37.692;38.615
89555;37.692;38.769
89560;37.846;38.923
89565;38.0;38.923
89570;37.846;38.923
89575;38.0;38.923
89580;37.846;38.923
89585;38.0;39.077
89590;38.0;38.923
89595;38.0;38.769
89600;38.154;38.923
89605;38.154;38.923
89610;38.462;39.077
89615;38.308;39.077
89620;38.308;38.923
89625;38.308;38.769
89630;38.308;38.769
89635;38.308;38.769
89640;38.615;38.615
89645;38.615;38.615
89650;38.462;38.462
89655;38.615;38.462
89660;38.462;38.462
89665;38.462;38.462
89670;38.615;38.462
89675;38.462;38.308
89680;38.308;38.308
89685;38.462;38.154
89690;38.462;38.154
89695;38.462;38.154
89700;38.615;38.462
89705;38.615;38.308
89710;38.615;38.308
89715;38.615;38.154
89720;38.615;38.154
89725;38.462;38.154
89730;38.462;38.154
89735;38.308;38.154
89740;38.308;38.308
89745;38.308;38.154
89750;38.308;38.0
89755;38.462;37.846
89760;38.462;37.846
89765;38.462;37.846
89770;38.462;37.538
89775;38.462;37.538
89780;38.462;37.385
89785;38.462;37.846
89790;38.462;37.846
89795;38.462;37.692
89800;38.308;38.0
89805;38.615;37.846
89810;38.308;37.846
89815;38.462;37.846
89820;38.462;37.846
89825;38.462;37.692
89830;38.769;37.692
89835;38.769;37.538
89840;38.769;37.538
89845;39.077;37.692
89850;39.077;37.846
89855;39.077;37.846
89860;39.385;37.538
89865;39.692;37.538
89870;39.692;37.846
89875;39.538;38.0
89880;39.538;38.0
89885;39.385;37.846
89890;39.231;37.846
89895;39.231;38.154
89900;39.077;38.154
89905;39.077;38.0
89910;38.923;38.154
89915;38.923;37.846
89920;38.923;37.846
89925;38.923;37.846
89930;38.769;37.846
89935;38.769;37.846
89940;38.923;38.0
89945;39.077;38.0
89950;39.077;38.154
89955;38.923;38.154
89960;39.077;38.0
89965;39.077;38.154
89970;38.923;38.0
89975;38.769;38.0
89980;38.769;38.0
89985;38.923;38.0
89990;38.769;38.0
89995;38.769;37.538
90000;38.769;37.231
90005;38.615;37.077
90010;38.769;37.077
90015;38.769;37.077
90020;38.615;37.077
90025;38.769;36.923
90030;38.923;36.923
90035;39.077;36.462
90040;38.769;36.615
90045;38.769;36.615
90050;38.923;36.308
90055;38.923;36.308
90060;38.923;36.308
90065;38.462;36.308
90070;38.462;36.308
90075;38.462;36.462
90080;38.615;36.462
90085;38.769;36.615
90090;38.769;36.923
90095;38.615;36.923
90100;38.615;36.923
90105;38.462;36.923
90110;38.462;36.923
90115;38.462;36.769
90120;38.462;36.769
90125;38.615;36.769
90130;38.769;36.769
90135;38.769;36.769
90140;38.462;36.615
90145;38.462;36.615
90150;38.462;36.615
90155;38.308;36.615
90160;38.308;36.615
90165;38.462;36.615
90170;38.462;36.462
90175;38.462;36.615
90180;38.154;36.615
90185;38.154;36.615
90190;38.0;36.308
90195;37.846;36.154
90200;37.846;36.154
90205;37.692;36.154
90210;37.692;36.154
90215;37.846;36.154
90220;37.846;36.0
90225;37.846;36.308
90230;38.0;36.308
90235;38.154;36.462
90240;38.308;36.308
90245;38.0;36.308
90250;38.0;36.154
90255;38.308;36.0
90260;38.154;35.846
90265;38.154;36.154
90270;37.846;36.308
90275;37.692;36.154
90280;37.692;36.0
90285;37.692;36.0
90290;37.538;36.154
90295;37.538;36.308
90300;37.692;36.615
90305;37.692;36.308
90310;38.0;36.154
90315;38.0;36.154
90320;38.0;35.846
90325;38.154;36.0
90330;37.846;35.692
90335;37.692;35.538
90340;37.692;35.538
90345;37.692;35.231
90350;37.692;35.385
90355;37.692;35.077
90360;37.538;35.077
90365;37.538;35.077
90370;37.692;34.923
90375;37.692;35.077
90380;37.692;34.923
90385;37.846;35.077
90390;37.538;35.385
90395;37.692;35.538
90400;37.538;35.692
90405;37.385;35.538
90410;37.385;35.385
90415;37.538;35.385
90420;37.538;35.538
90425;37.692;35.692
90430;37.846;35.538
90435;37.846;35.385
90440;37.692;35.538
90445;37.846;35.538
90450;37.846;35.538
90455;37.846;35.538
90460;37.846;35.538
90465;37.692;35.538
90470;37.846;35.692
90475;38.0;35.692
90480;38.154;35.846
90485;38.154;36.0
90490;38.154;36.0
90495;38.154;36.0
90500;38.0;35.846
90505;38.154;35.846
90510;38.154;35.846
90515;38.154;35.846
90520;38.0;35.846
90525;38.0;35.846
90530;37.846;35.846
90535;38.0;35.846
90540;38.0;35.692
90545;38.0;35.692
90550;38.154;35.692
90555;38.154;36.0
90560;38.0;36.154
90565;38.0;36.308
90570;38.308;36.308
90575;38.0;36.308
90580;37.846;36.308
90585;37.846;36.462
90590;37.846;36.462
90595;37.846;36.462
90600;37.846;36.615
90605;37.846;36.462
90610;37.692;36.462
90615;37.692;36.462
90620;37.846;36.462
90625;37.846;36.462
90630;37.692;36.308
90635;37.692;36.154
90640;37.538;36.154
90645;37.385;36.308
90650;37.538;36.308
90655;37.385;36.154
90660;37.231;36.154
90665;37.231;36.0
90670;37.231;36.154
90675;36.923;36.154
90680;36.923;36.462
90685;36.923;36.769
90690;36.769;36.615
90695;36.923;36.615
90700;37.077;36.615
90705;37.385;36.615
90710;37.385;36.462
90715;37.385;36.308
90720;37.538;36.154
90725;37.538;36.154
90730;37.385;36.0
90735;37.231;35.846
90740;37.538;35.692
90745;37.385;35.846
90750;37.385;35.692
90755;37.385;35.692
90760;37.385;35.692
90765;37.385;35.846
90770;37.385;35.846
90775;37.231;35.846
90780;37.385;36.154
90785;37.385;36.0
90790;37.231;35.846
90795;37.077;35.846
90800;37.077;35.692
90805;37.231;35.692
90810;37.231;35.538
90815;37.231;35.846
90820;37.385;36.0
90825;37.385;36.308
90830;37.231;36.308
90835;37.231;36.308
90840;37.077;36.154
90845;37.077;36.154
90850;37.231;36.154
90855;37.385;36.154
90860;37.385;36.154
90865;37.538;36.154
90870;37.692;36.154
90875;37.692;36.154
90880;37.538;36.154
90885;37.538;36.154
90890;37.231;36.0
90895;37.385;36.0
90900;37.231;36.0
90905;37.385;36.154
90910;37.385;36.154
90915;37.385;36.462
90920;37.385;36.462
90925;37.385;36.462
90930;37.385;36.462
90935;36.923;36.462
90940;36.923;36.462
90945;37.077;36.462
90950;37.077;36.615
90955;37.077;36.769
90960;37.077;36.769
90965;37.077;36.769
90970;37.077;36.615
90975;37.077;36.615
90980;37.231;36.462
90985;37.385;36.462
90990;37.538;36.462
90995;37.692;36.462
91000;37.692;36.462
91005;37.846;36.462
91010;37.846;36.462
91015;38.0;36.615
91020;38.0;36.308
91025;38.0;36.308
91030;37.846;36.308
91035;38.0;36.462
91040;37.846;36.462
91045;37.692;36.462
91050;37.692;36.462
91055;37.692;36.462
91060;37.692;36.462
91065;37.692;36.462
91070;37.538;36.462
91075;37.385;36.462
91080;37.385;36.462
91085;37.231;36.462
91090;37.231;36.154
91095;37.077;36.0
91100;37.231;35.846
91105;37.077;35.846
91110;37.385;35.692
91115;37.385;35.538
91120;37.231;35.692
91125;37.231;35.692
91130;37.231;35.692
91135;37.231;35.846
91140;37.231;35.846
91145;37.077;35.846
91150;36.923;36.0
91155;36.923;36.154
91160;37.077;36.154
91165;36.923;36.154
91170;36.923;36.0
91175;36.923;36.0
91180;37.077;36.0
91185;36.923;36.0
91190;37.231;36.0
91195;37.231;36.0
91200;37.231;36.0
91205;37.231;36.308
91210;37.231;36.154
91215;37.385;36.154
91220;37.385;36.154
91225;37.385;36.308
91230;37.538;36.308
91235;37.385;36.154
91240;37.231;35.846
91245;37.077;35.846
91250;37.385;35.692
91255;37.385;35.692
91260;37.231;35.538
91265;37.077;35.231
91270;37.385;35.231
91275;37.385;35.231
91280;37.231;35.077
91285;37.231;35.077
91290;37.385;34.923
91295;37.231;34.923
91300;37.077;34.615
91305;37.231;34.615
91310;37.538;34.769
91315;37.385;34.769
91320;37.538;34.769
91325;37.538;34.769
91330;37.538;34.923
91335;37.538;35.231
91340;37.538;35.231
91345;37.692;35.231
91350;37.846;35.077
91355;37.846;34.923
91360;37.846;34.615
91365;37.846;34.462
91370;37.692;34.308
91375;37.692;34.154
91380;37.846;34.0
91385;37.846;34.0
91390;37.692;34.0
91395;37.538;34.0
91400;37.692;34.0
91405;37.692;33.846
91410;37.692;33.846
91415;37.692;34.0
91420;37.692;33.846
91425;37.692;33.846
91430;37.846;33.692
91435;37.846;33.385
91440;37.846;33.385
91445;37.846;33.385
91450;37.846;33.077
91455;37.846;33.077
91460;37.846;33.231
91465;37.846;33.231
91470;37.846;33.231
91475;37.846;33.077
91480;37.846;33.077
91485;37.538;33.231
91490;37.385;33.231
91495;37.385;32.923
91500;37.385;32.923
91505;37.385;32.769
91510;37.385;32.769
91515;37.538;32.462
91520;37.538;32.462
91525;37.538;32.462
91530;37.385;32.462
91535;37.385;32.462
91540;37.385;32.462
91545;37.077;32.462
91550;37.077;32.462
91555;36.923;32.615
91560;36.923;32.462
91565;36.769;32.462
91570;36.769;32.615
91575;36.769;32.769
91580;36.769;32.769
91585;36.769;32.462
91590;36.769;32.615
91595;36.615;32.923
91600;36.615;33.077
91605;36.769;33.077
91610;36.923;32.923
91615;36.923;32.923
91620;36.769;32.923
91625;36.923;32.923
91630;37.077;32.923
91635;37.385;32.923
91640;37.231;32.923
91645;37.231;32.769
91650;37.077;32.769
91655;37.077;32.615
91660;37.077;32.615
91665;36.923;32.462
91670;36.923;32.462
91675;36.923;32.462
91680;36.923;32.462
91685;36.769;32.462
91690;36.615;32.308
91695;36.615;32.308
91700;36.615;32.308
91705;36.462;32.462
91710;36.462;32.308
91715;36.462;32.308
91720;36.615;32.308
91725;36.462;32.462
91730;36.462;32.308
91735;36.462;32.308
91740;36.154;32.308
91745;36.0;32.308
91750;36.0;32.308
91755;36.154;32.308
91760;36.0;32.308
91765;36.0;32.0
91770;36.0;31.846
91775;35.846;31.846
91780;35.846;31.692
91785;35.846;32.0
91790;35.846;31.846
91795;36.154;32.0
91800;36.462;31.846
91805;36.462;31.692
91810;36.462;31.846
91815;36.615;32.154
91820;36.615;32.154
91825;36.462;32.308
91830;36.462;32.154
91835;36.462;32.0
91840;36.462;32.0
91845;36.154;32.0
91850;36.308;32.0
91855;36.308;32.0
91860;36.308;32.0
91865;36.462;32.0
91870;36.462;32.154
91875;36.308;32.154
91880;36.308;32.154
91885;36.462;32.308
91890;36.308;32.308
91895;36.0;32.308
91900;36.0;32.308
91905;35.846;32.308
91910;36.0;32.154
91915;36.154;32.308
91920;36.154;32.154
91925;36.154;32.154
91930;36.154;32.154
91935;36.308;32.0
91940;36.462;32.0
91945;36.462;32.154
91950;36.462;32.154
91955;36.615;32.154
91960;36.615;32.0
91965;36.615;31.692
91970;36.615;31.692
91975;36.462;31.538
91980;36.615;31.538
91985;36.615;31.538
91990;36.308;31.538
91995;36.308;31.692
92000;36.308;31.846
92005;36.308;31.692
92010;36.308;31.846
92015;36.308;31.538
92020;36.308;31.538
92025;36.154;31.385
92030;35.846;31.077
92035;36.154;31.231
92040;36.154;31.231
92045;36.154;31.231
92050;36.0;31.231
92055;36.154;31.231
92060;36.308;31.077
92065;36.308;31.231
92070;36.308;31.077
92075;36.308;31.231
92080;36.615;31.385
92085;36.462;31.538
92090;36.308;31.538
92095;36.308;31.385
92100;36.308;31.538
92105;36.0;31.538
92110;36.154;31.692
92115;36.154;31.692
92120;36.308;31.846
92125;36.308;31.846
92130;36.308;31.692
92135;36.462;31.692
92140;36.308;31.692
92145;36.308;31.385
92150;36.0;31.692
92155;36.0;31.692
92160;36.0;31.846
92165;36.0;31.846
92170;36.0;32.0
92175;36.0;32.0
92180;36.0;31.846
92185;36.0;31.846
92190;35.692;31.846
92195;35.538;32.0
92200;35.538;31.846
92205;35.538;32.0
92210;35.538;32.0
92215;35.231;32.154
92220;35.231;32.0
92225;35.077;31.846
92230;35.077;31.846
92235;35.077;32.0
92240;35.077;32.154
92245;35.077;32.308
92250;35.077;32.462
92255;35.077;32.462
92260;35.231;32.308
92265;35.231;32.308
92270;35.385;32.462
92275;35.385;32.308
92280;35.077;32.308
92285;35.077;32.308
92290;35.231;32.308
92295;35.385;32.462
92300;35.385;32.308
92305;35.538;32.308
92310;35.385;32.154
92315;35.231;32.0
92320;35.231;32.154
92325;35.231;32.462
92330;35.385;32.615
92335;35.077;32.615
92340;35.077;32.462
92345;34.923;32.615
92350;34.769;32.615
92355;34.769;32.769
92360;34.615;32.615
92365;34.615;32.462
92370;34.615;32.615
92375;34.923;32.615
92380;35.231;32.923
92385;35.231;32.769
92390;35.077;32.769
92395;35.077;32.769
92400;35.077;32.615
92405;34.923;32.615
92410;34.923;32.615
92415;35.231;32.615
92420;35.385;32.615
92425;35.538;32.462
92430;35.846;32.462
92435;35.846;32.769
92440;35.846;32.462
92445;35.692;32.154
92450;35.846;32.308
92455;35.846;32.154
92460;35.846;32.154
92465;35.846;32.308
92470;35.846;32.308
92475;35.846;32.308
92480;35.846;32.154
92485;35.846;32.462
92490;36.0;32.308
92495;36.0;32.308
92500;36.154;32.308
92505;36.154;32.308
92510;36.154;32.462
92515;36.154;32.615
92520;36.154;32.769
92525;36.0;33.077
92530;36.0;33.077
92535;36.154;33.077
92540;36.308;32.923
92545;36.308;32.923
92550;36.462;32.769
92555;36.462;32.923
92560;36.615;32.769
92565;36.769;33.077
92570;36.769;33.077
92575;36.615;32.769
92580;36.462;32.923
92585;36.462;33.077
92590;36.615;33.077
92595;36.615;33.231
92600;36.769;33.385
92605;36.923;33.385
92610;36.923;33.077
92615;37.077;32.923
92620;37.231;32.923
92625;37.077;32.923
92630;37.077;32.923
92635;36.769;33.231
92640;36.615;33.231
92645;36.615;32.923
92650;36.615;32.923
92655;36.923;33.077
92660;36.769;33.077
92665;37.077;33.231
92670;36.923;33.231
92675;37.231;33.231
92680;37.077;33.077
92685;36.923;33.077
92690;36.769;33.077
92695;36.769;33.231
92700;36.769;33.077
92705;36.615;33.077
92710;36.615;33.077
92715;36.615;33.077
92720;36.923;33.077
92725;36.769;32.769
92730;36.923;32.769
92735;36.923;32.769
92740;37.077;32.769
92745;36.923;32.769
92750;36.923;32.769
92755;36.615;32.769
92760;36.615;32.615
92765;36.615;32.462
92770;36.462;32.462
92775;36.308;32.462
92780;36.308;32.462
92785;36.462;32.154
92790;36.462;32.154
92795;36.462;32.154
92800;36.308;32.154
92805;36.462;32.154
92810;36.615;32.0
92815;36.769;31.846
92820;36.923;32.0
92825;36.769;32.154
92830;36.769;32.154
92835;36.923;32.154
92840;36.923;32.154
92845;36.923;32.154
92850;36.923;32.308
92855;37.077;32.308
92860;36.923;32.308
92865;36.923;32.308
92870;36.923;32.308
92875;36.923;32.154
92880;36.923;32.0
92885;36.923;32.154
92890;37.077;32.308
92895;37.231;32.462
92900;37.231;32.462
92905;37.231;32.769
92910;37.231;32.308
92915;37.231;32.462
92920;37.385;32.615
92925;37.538;32.615
92930;37.538;32.615
92935;37.385;32.769
92940;37.385;33.077
92945;37.538;33.385
92950;37.385;33.385
92955;37.231;33.538
92960;37.077;33.538
92965;37.231;33.692
92970;37.077;33.846
92975;37.077;34.154
92980;37.385;34.154
92985;37.385;34.154
92990;37.231;34.0
92995;37.077;34.0
93000;37.231;34.0
93005;36.923;33.846
93010;36.769;33.846
93015;36.769;33.538
93020;36.923;33.385
93025;36.923;33.538
93030;36.615;33.538
93035;36.615;33.538
93040;36.615;33.692
93045;36.769;33.692
93050;36.769;34.0
93055;36.615;34.154
93060;36.615;34.308
93065;36.462;34.154
93070;36.462;34.154
93075;36.462;33.692
93080;36.462;33.692
93085;36.462;33.692
93090;36.462;33.692
93095;36.462;33.692
93100;36.308;33.692
93105;36.154;33.692
93110;36.154;33.692
93115;36.154;33.538
93120;36.154;33.692
93125;36.154;33.692
93130;36.154;33.692
93135;36.308;33.538
93140;36.0;33.538
93145;36.0;33.385
93150;36.154;33.538
93155;36.462;33.538
93160;36.615;33.538
93165;36.615;33.385
93170;36.923;33.385
93175;36.923;33.692
93180;36.615;33.538
93185;36.462;33.692
93190;36.154;33.692
93195;36.308;33.692
93200;36.308;33.538
93205;36.154;33.538
93210;36.154;33.692
93215;36.154;33.846
93220;35.846;34.154
93225;35.846;34.154
93230;35.846;34.154
93235;35.846;34.0
93240;35.846;34.154
93245;35.846;34.0
93250;36.0;34.154
93255;35.846;34.462
93260;35.846;34.615
93265;35.846;34.923
93270;35.846;34.923
93275;36.154;35.077
93280;36.0;35.077
93285;36.154;35.077
93290;36.0;35.385
93295;36.154;35.385
93300;36.308;35.385
93305;36.308;35.231
93310;36.154;35.077
93315;36.154;35.231
93320;36.154;35.385
93325;36.308;35.538
93330;36.308;35.538
93335;36.154;35.538
93340;36.154;35.538
93345;36.154;35.846
93350;36.154;35.692
93355;36.0;35.692
93360;36.0;35.692
93365;36.0;35.846
93370;36.0;36.0
93375;35.846;36.154
93380;35.692;36.0
93385;35.538;36.0
93390;35.538;36.154
93395;35.385;36.154
93400;35.385;36.154
93405;35.385;36.154
93410;35.385;36.154
93415;35.385;36.154
93420;35.846;36.308
93425;35.692;36.154
93430;35.692;36.154
93435;35.846;36.154
93440;35.692;35.846
93445;35.538;35.846
93450;35.692;36.154
93455;35.692;36.154
93460;35.538;36.154
93465;35.385;36.154
93470;35.385;36.0
93475;35.538;36.0
93480;35.538;36.308
93485;35.538;36.308
93490;35.538;36.615
93495;35.385;36.615
93500;35.231;36.462
93505;35.385;36.308
93510;35.231;36.308
